street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
CLANMOYLE ROAD,6,3,2,14,14,236,,,319804,COLLINS AVENUE EAST,,Bóthar na Clainne Maoile
CLANRANALD ROAD,6,3,2,14,14,539,,,319804,CLANBOY ROAD,CLANREE ROAD,Bóthar Clann Raghnaill
CLANREE ROAD,5,3,2,14,14,315,,,319804,COLLINS AVENUE,CLANMAURICE ROAD,Bóthar Clann Rí
CLANWILLIAM PLACE,4,5,1,21,13,139,,,326412,GRAND CANAL STREET LOWER,MOUNT STREET LOWER,Plás Chlann Liam
CLANWILLIAM SQUARE,6,5,1,20,12,0,,1990,326412,GRAND CANAL QUAY,,
CLARE LANE,7,5,2,17,9,54,,,326411,CLARE STREET,,Lána Chlara
CLARE PARK VILLAS,6,1,2,14,22,36,,,319801,ACHILL ROAD,,Páirc Bailtíní Chlara
CLARE ROAD,6,1,1,14,22,142,,,319801,HOMEFARM ROAD,GRIFFITH AVENUE,Bóthar an Chlair
CLARE ROAD,6,1,2,14,22,138,,,319801,HOMEFARM ROAD,GRIFFITH AVENUE,Bóthar an Chlair
CLARE STREET,2,5,1,R13,R09,126,R118,,326411,LINCOLN PLACE,MERRION STREET LOWER,Sráid Chlara
CLAREMONT AVENUE,5,1,3,14,22,131,,,319704,BALLYMUN ROAD,,Ascaill Claremont
CLAREMONT CLOSE,6,1,2,11,19,55,,,319708,CLAREMONT COURT,,Clós Claremont
CLAREMONT COURT,6,1,1,11,19,692,,,319708,FINGLAS ROAD,,Cúirt Claremont
CLAREMONT CRESCENT,6,1,1,11,19,403,,,319708,CLAREMONT COURT,,Corrán Claremont
CLAREMONT DRIVE,6,2,2,6,6,209,,,313124,BALLYGALL ROAD EAST,,Céide Claremont
CLAREMONT LAWN,6,1,1,11,19,337,,,319709,FINGLAS ROAD,,Plásóg Claremont
CLAREMONT PARK,6,5,2,17,30,296,,,326419,CLAREMONT ROAD,,Páirc Claremont
CLAREMONT ROAD,3,5,1,17,30,457,,,326419,SANDYMOUNT GREEN,SERPTENTINE AVENUE,Bóthar Claremont
CLARENCE MANGAN ROAD,6,4,1,7,7,398,,,326319,BACKPITTS,SWEENEYS TERRACE,Bóthar ó Mhongáin
CLARENCE MANGAN SQUARE,6,4,1,6,6,36,,,326314,JOHN DILLON STREET,,Cearnóg ó Mhongáin
CLARENCE PLACE GREAT,6,5,1,20,12,165,,,326407,MACKEN STREET,,
CLARENCE STREET GREAT NORTH,6,1,3,13,13,220,,,319821,NORTH STRAND ROAD,SUMMERHILL PARADE,
CLARENDON MARKET,6,5,1,13,5,50,,,326310,CLARENDON ROW,JOHNSTON PLACE,Margadh Chlarendon
CLARENDON ROW,6,5,4,13,5,21,,,326310,CHATHAM STREET,KING STREET NORTH,Rae Chlarendon
CLARENDON ROW,6,5,1,13,5,38,,,326310,CHATHAM STREET,KING STREET SOUTH,Rae Chlarendon
CLARENDON STREET,4,5,2,13,5,205,,,326310,CHATHAM STREET,WICKLOW STREET,Sráid Chlarendon
CLARENDON STREET,4,5,1,13,5,32,,,326310,CHATHAM STREET,WICKLOW STREET,Sráid Chlarendon
CLAREVILLE COURT,6,1,1,11,19,29,,,319714,CLAREMONT LAWN,,Cúirt Tigh Clár
CLAREVILLE GROVE,6,1,1,11,19,155,,,319709,CLAREVILLE PARK,,Garrán Tigh Clár
CLAREVILLE ROAD,3,4,3,12,20,82,,,332808,KENILWORTH PARK,LARKFIELD GROVE,Bóthar Tigh Clár
CLAREVILLE ROAD,6,4,2,12,20,396,,,332808,KENILWORTH PARK,LARKFIELD GROVE,Bóthar Tigh Clár
CLARKES TERRACE,6,4,3,2,2,74,,,326318,COLBERTS FORT,,
CLAUDE ROAD,6,1,3,13,21,150,,,319715,WHITWORTH ROAD,,Bóthar Clád
CLEGGAN AVENUE,6,4,2,1,9,288,,,326207,CLEGGAN PARK,CLEGGAN ROAD,Ascaill an Chloiginn
CLEGGAN PARK,5,4,2,1,9,270,,,326207,BALLYFERMOT ROAD,DRUM FINN AVENUE,Páirc an Chloiginn
CLEGGAN ROAD,6,4,2,1,9,388,,,326207,DRUM FINN AVENUE,CLEGGAN PARK,Bóthar an Chloiginn
CLIFDEN DRIVE,6,4,2,2,10,500,,,326212,CHERRY ORCHARD DRIVE,,Céide an Chlocháin
CLIFTON MEWS,7,5,1,7,20,45,,,326421,RANELAGH ROAD,,
CLIFDEN ROAD,4,4,2,2,10,469,,,326212,BALLYFERMOT ROAD,RAHEEN PARK,Bóthar Chlocháin
CLIFTONVILLE ROAD,6,1,3,13,21,206,,,319710,BOTANIC ROAD,,Bóthar Cliathmhuine
CLINCHS COURT,6,1,2,13,13,45,,,319822,NEWCOMEN AVENUE,,
CLOGHER ROAD,3,4,1,11,19,1050,,,326323,KILDARE ROAD,PARNELL ROAD,Bóthar Chlochar
CLOGHER ROAD,3,4,1,11,19,205,,,326323,KILDARE ROAD,PARNELL ROAD,Bóthar Chlochar
CLOGHER ROAD,6,4,2,11,19,144,,,326323,KILDARE ROAD,PARNELL ROAD,Bóthar Chlochar
CLONARD ROAD,4,4,1,10,18,179,,,332802,PODDLE RARK,CRUMLIN ROAD,Bóthar Cluain Iorárd
CLONARD ROAD,4,4,2,10,18,1401,,,332802,PODDLE PARK,CRUMLIN ROAD,Bóthar Cluain Iorárd
CLONFERT ROAD,6,4,2,10,18,167,,,332807,STANAWAY ROAD,KILFERNORA ROAD,Bóthar Cluain Feirte
CLONLARA ROAD,6,5,1,18,31,45,,,326414,PINE ROAD,,Bóthar Chlainn Lára
CLONLIFFE AVENUE,6,1,3,8,8,583,,,319816,BALLYBOUGH ROAD,,Ascaill Chluain Life
CLONLIFFE GARDENS,6,1,1,15,8,250,,,319816,CLONLIFFE ROAD,DISTILLERY ROAD,Gairdíní Cluain Life
CLONLIFFE ROAD,2,1,1,15,8,1025,R131,,319816,DRUMCONDRA ROAD,BALLYBOUGH ROAD,Bóthar Chluain Life
CLONMACNOISE GROVE,6,4,1,10,18,82,,,332802,CLONMACNOISE ROAD,,Garrán Chluain Mhic Nois
CLONMACNOISE ROAD,3,4,2,10,18,20,,,332802,CLONARD ROAD,SUNDRIVE ROAD,Bóthar Chluain Mhic Nois
CLONMACNOISE ROAD,3,4,1,10,18,1006,,,332802,CLONARD ROAD,SUNDRIVE ROAD,Bóthar Chluain Mhic Nois
CLONMACNOISE ROAD,6,4,1,10,18,120,,,332802,CLONARD ROAD,SUNDRIVE ROAD,Bóthar Chluain Mhic Nois
CLONMACNOISE ROAD,5,4,2,10,18,193,,,332802,CLONARD ROAD,SUNDRIVE ROAD,Bóthar Chluain Mhic Nois
CLONMEL ROAD,6,2,2,7,7,436,,,313119,BALLYMUN DRIVE,,Bóthar Chluain Meala
CLONMEL STREET,5,5,3,14,6,73,,,326320,HARCOURT STREET,,Sráid Chluain Meala
CLONMELLON GROVE,6,3,2,4,4,119,,,313308,ARDARA AVENUE,,
